訂單編號,平台,平台訂單編號,訂單時間,商品名稱,數量,訂單金額,預期手續費
ORD-0001,platform_a,SP-A1B2C3D4,2026-03-02T10:00:00,無線滑鼠,1,1000.00,55.30
ORD-0002,platform_a,SP-A2B3C4D5,2026-03-03T10:00:00,機械鍵盤,1,2500.00,138.25
ORD-0003,platform_a,SP-A3B4C5D6,2026-03-04T10:00:00,USB 集線器,2,1360.00,75.21
ORD-0004,platform_a,SP-A4B5C6D7,2026-03-05T10:00:00,螢幕支架,1,1200.00,66.36
ORD-0005,platform_b,MO-B1C2D3E4,2026-03-02T10:00:00,藍牙耳機,1,1800.00,86.40
ORD-0006,platform_b,MO-B2C3D4E5,2026-03-03T10:00:00,行動電源,1,890.00,42.72
ORD-0007,platform_b,MO-B3C4D5E6,2026-03-04T10:00:00,網路攝影機,1,2200.00,105.60
ORD-0008,platform_b,MO-B4C5D6E7,2026-03-05T10:00:00,筆電散熱座,1,760.00,36.48
ORD-0009,platform_c,PC-C1D2E3F4,2026-03-02T10:00:00,手機保護殼,3,1170.00,71.96
ORD-0010,platform_c,PC-C2D3E4F5,2026-03-03T10:00:00,充電線組,2,640.00,39.36
ORD-0011,platform_c,PC-C3D4E5F6,2026-03-04T10:00:00,無線滑鼠,1,980.00,60.27
ORD-0012,platform_c,PC-C4D5E6F7,2026-03-05T10:00:00,螢幕支架,1,1500.00,92.25
